"","LandUse","date","ndvi_mean","Stot_per_LU","ndvi_mean_interp"
"998","Urbain",2015-09-25,NA,NA,0.553978403916803
"999","Urbain",2015-09-26,NA,NA,0.551812801991444
"1000","Urbain",2015-09-27,NA,NA,0.549647200066085
"1001","Urbain",2015-09-28,NA,NA,0.547481598140726
"1002","Urbain",2015-09-29,NA,NA,0.545315996215367
"1003","Urbain",2015-09-30,NA,NA,0.543150394290008
"1004","Urbain",2015-10-01,0.540984792364649,1209849.278,0.540984792364649
"1005","Urbain",2015-10-02,NA,NA,0.538407882711035
"1006","Urbain",2015-10-03,NA,NA,0.535830973057421
"1007","Urbain",2015-10-04,NA,NA,0.533254063403807
"1008","Urbain",2015-10-05,NA,NA,0.530677153750193
"1009","Urbain",2015-10-06,NA,NA,0.52810024409658
"1010","Urbain",2015-10-07,NA,NA,0.525523334442966
"1011","Urbain",2015-10-08,NA,NA,0.522946424789352
"1012","Urbain",2015-10-09,NA,NA,0.520369515135738
"1013","Urbain",2015-10-10,NA,NA,0.517792605482124
"1014","Urbain",2015-10-11,NA,NA,0.51521569582851
"1015","Urbain",2015-10-12,NA,NA,0.512638786174896
"1016","Urbain",2015-10-13,NA,NA,0.510061876521282
"1017","Urbain",2015-10-14,NA,NA,0.507484966867668
"1018","Urbain",2015-10-15,NA,NA,0.504908057214054
"1019","Urbain",2015-10-16,NA,NA,0.50233114756044
"1020","Urbain",2015-10-17,NA,NA,0.499754237906826
"1021","Urbain",2015-10-18,NA,NA,0.497177328253213
"1022","Urbain",2015-10-19,NA,NA,0.494600418599599
"1023","Urbain",2015-10-20,NA,NA,0.492023508945985
"1024","Urbain",2015-10-21,NA,NA,0.489446599292371
"1025","Urbain",2015-10-22,NA,NA,0.486869689638757
"1026","Urbain",2015-10-23,NA,NA,0.484292779985143
"1027","Urbain",2015-10-24,NA,NA,0.481715870331529
"1028","Urbain",2015-10-25,NA,NA,0.479138960677915
"1029","Urbain",2015-10-26,0.476562051024301,1209849.278,0.476562051024301
"1030","Urbain",2015-10-27,NA,NA,0.482826486682775
"1031","Urbain",2015-10-28,NA,NA,0.489090922341248
"1032","Urbain",2015-10-29,NA,NA,0.495355357999722
"1033","Urbain",2015-10-30,NA,NA,0.501619793658196
"1034","Urbain",2015-10-31,NA,NA,0.507884229316669
"1035","Urbain",2015-11-01,NA,NA,0.514148664975143
"1036","Urbain",2015-11-02,NA,NA,0.520413100633616
"1037","Urbain",2015-11-03,NA,NA,0.52667753629209
"1038","Urbain",2015-11-04,NA,NA,0.532941971950563
"1039","Urbain",2015-11-05,NA,NA,0.539206407609037
"1040","Urbain",2015-11-06,NA,NA,0.54547084326751
"1041","Urbain",2015-11-07,NA,NA,0.551735278925984
"1042","Urbain",2015-11-08,NA,NA,0.557999714584458
"1043","Urbain",2015-11-09,NA,NA,0.564264150242931
"1044","Urbain",2015-11-10,NA,NA,0.570528585901405
"1045","Urbain",2015-11-11,0.576793021559878,1209849.278,0.576793021559878
"1046","Urbain",2015-11-12,NA,NA,0.563525504372778
